"typography_heading-xs__jSwUz","link_internal__7XN06 href","typography_heading-xxs__QKBS8","typography_body-m__xgxZ_","typography_body-m__xgxZ_ 2","star-rating_starRating__4rrcf src","typography_body-m__xgxZ_ 3","link_internal__7XN06 href 2","typography_heading-s__f7029","typography_body-l__KUYFJ","typography_body-m__xgxZ_ 4","typography_body-m__xgxZ_ 8","typography_body-m__xgxZ_ 9","typography_body-m__xgxZ_ 10"
"DM","https://uk.trustpilot.com/users/5ca6301580e65721aa9d44aa","Daniel Marr","10 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Updated 19 Nov 2021","https://uk.trustpilot.com/reviews/618529ac75069a4da49a29a1","The ombudsman appears to be on the side…","The ombudsman appears to be on the side of the supplier.  Do not believe the response they put here, I submitted a complaint as the case officer did not reply on six attempts to contact them about the case, they just let the clock run down so that their original incompetent ruling stands.They misinterpreted the criteria of a product which led to the incorrect conclusion being reached.  Because it was the appeal, there was no recourse to have the matter resolved.I would not bother with them in future, it is just a waste of time.I have created a complaint, written and called the case manager, however got an automated email that the case will be closed in 7 days.It wasn't so much the outcome, as the fact that the case manager didn't take the time to read the rules for O2 like new.  No more than 5 scratches up to 2mm in length.  Not scratches over 5 centimetres as they interpreted.That is a terrible misinterpretation and I have no recourse to justice through the ombudsman.","05 November 2021","Reply from Energy Ombudsman","11 Nov 2021","Hi Daniel, We are sorry that you are unhappy with the outcome of our investigation. Our team take great care in ensuring that they understand the detail of the complaint and review any supporting evidence before making their decision. We understand that it is frustrating when you don't get the outcome you have hoped for. If you are unhappy with our service then we would encourage you to raise a complaint via our website - https://www.ombudsman-services.org/unhappy-with-our-service - Our team will review the details of your complaint and will address any concerns that you may have. Thank you"
"AA","https://uk.trustpilot.com/users/6184988ce4352c0012d28c4c","Anthony Akanya","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-4.svg","5 Nov 2021","https://uk.trustpilot.com/reviews/618498ab234f1b1fe56ebb13","I have the trust in the Ombudsman and…","I have the trust in the Ombudsman and this is my motivation for referring my case thereof. The method and transparency in the handling of the case is very methodical and exhaustive. My trust is well established and I feel satisfied with the decision; I would ask all the aggrieved customers to use the services of Ombudsman as a last resort.","05 November 2021","Reply from Energy Ombudsman","5 Nov 2021","That's great to hear, Anthony! We are always here to provide as much support as possible during the complaint journey! We are glad you were happy with the outcome! Thank you"
"RO","https://uk.trustpilot.com/users/573220900000ff000a1ee786","Rob","17 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","4 Nov 2021","https://uk.trustpilot.com/reviews/61845fbc75069a4da499af3c","Had an issue with E.ON which I tried to…","Had an issue with E.ON which I tried to sort myself, but after a year of getting nowhere i contacted the Ombudsman service and I'm super happy i did. The web portal is great and easy to use, it's good to have all info in one place and it makes it easy to keep up with what's going on. My case worker was both knowledgeable, and very pleasant to deal with. Case resolved no and I'm both happy and relieved. All round great job. I cant rate highly enough. Thankyou","04 November 2021","Reply from Energy Ombudsman","5 Nov 2021","Thank you for your lovely feedback, Rob. We are happy that you had a positive experience when using our services and that you were happy with the outcome. I will make sure your feedback reaches the team that handled your complaint. Thank you."
"RU","https://uk.trustpilot.com/users/5ed8d5f655e7b7f9df068fd1","Ruth","2 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","4 Nov 2021","https://uk.trustpilot.com/reviews/6183ff7c234f1b1fe56e3d97","Biased","Biased, unbalanced, impossible to trust. Failure to read through extensive evidence provided leaving key points out. Decision directed by the companies evidence and reads from the view of the company against the consumer. systemic bias.","04 November 2021","Reply from Energy Ombudsman","5 Nov 2021","Hi Ruth, We are sorry that you were unhappy with the outcome to our investigation. Our investigations officer will have sent you a detailed explanation as to how the decision was reached but if you do have any further questions then please let them know via your online account or by contacting 0330 440 1624, and they will be happy to help you. Thank you"
"DN","https://uk.trustpilot.com/users/5af7fbc74de5666d343158b0","Dell. Net","4 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","4 Nov 2021","https://uk.trustpilot.com/reviews/6183c7a7234f1b1fe56df21e","Honest and impartial service","Honest and impartial service, their recommendations were fully accepted by my energy company","04 November 2021","Reply from Energy Ombudsman","5 Nov 2021","Hi Dell, Thank you so much for your review, we are glad we were able to help you!"
"AN","https://uk.trustpilot.com/users/5edf5f1f3e84d450c37f59d4","Anon","4 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","3 Nov 2021","https://uk.trustpilot.com/reviews/61826ff375069a4da497d90c","After 5 months of trying  to get my…","After 5 months of trying  to get my energy account sorted with the company  I resorted to using ombudsman service. Very easy to navigate the site and they kept me updated Quickly got my problem sorted plus  the added bonus of unexpected compensationWould recommend  this free service","03 November 2021","Reply from Energy Ombudsman","3 Nov 2021","Hi, Thank you for taking the time to leave us your review, we are glad that we were able to get you a positive resolution to your case. Thank you for your review."
"TL","https://uk.trustpilot.com/users/5eb6d8062427957c49461a58","TL","4 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","3 Nov 2021","https://uk.trustpilot.com/reviews/61825208234f1b1fe56caa8d","Mobile operator billing issues resolved","My issue with a mobile operator was resolved quickly after having raised it with the Ombudsman. Very happy with the outcome.","03 November 2021","Reply from Energy Ombudsman","3 Nov 2021","That's fantastic news, we are glad you got a quick resolution! Thank you for your review."
"BC","https://uk.trustpilot.com/users/59612d8a0000ff000aad0bb7","brenda clements","9 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","30 Oct 2021","https://uk.trustpilot.com/reviews/617db96175069a4da494a70d","Had problems with eon next energy over…","Had problems with eon next energy over a bill that wasnt mine sending letters ,to send in debt collectors etc.went on for about 5months but with the help of the ombudsman the problem has been resolved so thank you all for your help n commitment to this situation b clements","30 October 2021","Reply from Energy Ombudsman","3 Nov 2021","Hi Brenda, You are very welcome. That must have been concerning for you so we are glad we were able to help you resolve the matter. Thank you"
"PF","https://uk.trustpilot.com/users/5e16f2dc53022f3a926ddab4","Peter Frosdick","6 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","30 Oct 2021","https://uk.trustpilot.com/reviews/617d1762234f1b1fe569212a","Professional and extremely thorough / fair service","I recently experienced major billing problems with EON energy. The situation continued over a 2.5 year period and could not be resolved, even with my supplying evidence  in my favour. I contacted the Ombudsman who dealt with the matter in a thoroughly even sided and professional manner. After just a few weeks EON, who's attitude changed dramatically when the case was being looked at, were asked to offer compensation and an apology. The case is now sorted and the Ombudsman kept me fully informed during the entire process. They were first class in dealing with this matter. I would have accepted any decision they were to make as I trusted the process.","30 October 2021","Reply from Energy Ombudsman","3 Nov 2021","Hi Peter, It sounds like a really long process that you went through with E.on! We are glad that we were able to finally get you a resolution! Thank you for leaving us your feedback, we really appreciate it."
"JO","https://uk.trustpilot.com/users/617d10965e6878001212d885","Joe","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-2.svg","30 Oct 2021","https://uk.trustpilot.com/reviews/617d10cc75069a4da4942ac5","Needs make use of daily fines","It is still useful to register a complaint with the Ombudsman as this is the only way to get the attention the energy companies that are good at marketing but highly incompetent at engineering.Unfortunately, the ombudsman has little power to make any lasting change. The default is to offer £50 in compensation to close the case.  The industry will not improve until the ombudsman stops kowtowing to the energy firms and starts imposing meaningful fines that motivate action.","30 October 2021","Reply from Energy Ombudsman","3 Nov 2021","Hi Joe. We work with suppliers in order to try and help them improve their customer service and reduce complaints and all of the work that we do feeds into the regulatory body of the energy industry, OFGEM. Ombudsman services is a dispute resolution service that resolves disputes between consumers and their providers, it it not within our remit to fine providers or dictate how they operate, that is the role of OFGEM. We do not offer a default compensation amount, the resolutions we issue may or may not include gesture of goodwill payments but these amounts vary depending on each individual circumstance. Thank you for leaving us your review and allowing us the opportunity to respond."
"JB","https://uk.trustpilot.com/users/5be9c6095483f4b8a9f7c12f","John Baker","7 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","30 Oct 2021","https://uk.trustpilot.com/reviews/617d051875069a4da494210c","The energy ombudsman service is a true…","The energy ombudsman service is a true protector of the interest of the general public in disputes with major companies like in my case Eon electricityThe ombudsman listened carefully to both sides case and reached a decision that represented a fair and reasonable settlement for both parties and did not allow Eon to bully me into submission","30 October 2021","Reply from Energy Ombudsman","3 Nov 2021","Hi John! We are glad you had a positive experience when using our services. We are happy that we were able to help."
"GG","https://uk.trustpilot.com/users/617c1366b0de76001221116f","Ged Gourlay","11 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","29 Oct 2021","https://uk.trustpilot.com/reviews/617c137c75069a4da493a08e","OS is worth the money","Recently contacted the Ombudsman regarding an issue with a domestic Electrical Supplier Symbio who would not accept a final meter when moving house. Put my case forward to the Ombudsman services and within a week the company were in touch asking how they could resolve the situation. They then resolved the issue  arranged my rebate for £38 and agreed to pay me £100 in compensation. The Ombudsman Service was the changing point for me and I would recommend their service if you have a genuine issue you have tried to address with a company how is just ignoring their responsibility. Thanks OS from a grateful customer.","29 October 2021","Reply from Energy Ombudsman","3 Nov 2021","Hi Ged, You are very welcome! We are glad we were able to get you a quick resolution with Symbio! Thank you for your recommendation!"
"LI","https://uk.trustpilot.com/users/5dbc9aa696632f15f3e1c717","liam","11 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","28 Oct 2021","https://uk.trustpilot.com/reviews/617ad10275069a4da492ac14","Yeah baby","Fantastic experience. They helped me take on one of the big boys and I won. Literally could not have done it without them. So glad a service like this exists.","28 October 2021","Reply from Energy Ombudsman","29 Oct 2021","Hi Liam! That is great news, we are glad that we were able to help you out! Thank you"
"FM","https://uk.trustpilot.com/users/6109391b10b70c001286ec4c","Filomena Merola","3 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","28 Oct 2021","https://uk.trustpilot.com/reviews/617a7eff234f1b1fe5672a7f","Problem solved swiftly","Been overcharged on an 'estimated' electricity bill. Received apologies and reimbursement after few days I did the claim.","28 October 2021","Reply from Energy Ombudsman","29 Oct 2021","Hi Filomena, That's great news! We are glad you had a positive outcome to your complaint! Thank you"
"SA","https://uk.trustpilot.com/users/5eb327f2a9a753e79d575b78","Sandra","14 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-4.svg","28 Oct 2021","https://uk.trustpilot.com/reviews/617a62f175069a4da4921d7f","hi all just to let you know if anyone…","hi all just to let you know if anyone has a problem with anything and you just cart get it sorted go to the ombudsman.i did with my electric and they sorted it for me with in a few weeks.thankyou","28 October 2021","Reply from Energy Ombudsman","29 Oct 2021","Fantastic news, Sandra! We are glad to hear that you had a speedy resolution to your complaint. Thank you"
"MI","https://uk.trustpilot.com/users/55b09d500000ff0001cea519","middleman60","11 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","27 Oct 2021","https://uk.trustpilot.com/reviews/6179850275069a4da4919c97","a cynical waste of my time","Having spent many hours over several months gathering evidence and endeavouring to resolve billing issues with Avro energy, issues which I suspected were tantamount to fraudulent behaviour by Avro energy at the time, I finally approached the ombudsman who seemed to enthusiastically agree to take my case, I provided more evidence on numerous occasions to substantiate my case.After a period of several weeks I suspected that my case had not been escalated to the investigation level and when I questioned this the ombudsman service stated that Avro energy had queried my case and the case was now closed, having changed my energy provider to cut my financial losses and the frustration of Avro energy's disgraceful lack of customer service,I now find myself having been overcharged several hundred pounds over a two year contract with Avro energy, and no longer a customer........thank you Mr ombudsman, you represent everything that is wrong with this industry in the UK.","27 October 2021","Reply from Energy Ombudsman","29 Oct 2021","Hello, We are sorry that you have had a disappointing experience when using our services. Before we can investigate a complaint, we have to ensure that the case meets our terms of reference. Whilst a consumer is submitting their case we ask questions to ensure that the complaint meets our criteria, and we then check these details with the supplier to make sure the information is consistent. There are times when the supplier may come back to us wishing to dispute the case, this may be if they haven't had 8 weeks to investigate the complaint themselves before it has been submitted to us or if they feel like they have already had an agreement in place with the consumer confirming that the complaint is already resolved. We will then send a message to our consumer advising of the situation and asking them to provide us with more information, if we don't hear back after 10 working days then the complaint will be closed. Thank you"
"MA","https://uk.trustpilot.com/users/5bd41f883944f6af4cb554a3","Mathew","17 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-3.svg","27 Oct 2021","https://uk.trustpilot.com/reviews/61791a2f75069a4da4911bbe","Far too Haphazard","I found the User's Portal to be cumbersome.My evidence was displayed out of chronological order and changed/redacted beyond all recognition.My Advice would be to put headings to all pieces of evidence.The Ombudsman Staff must have a different view of what is in the portal, than what we, as Users, can see. I would like the investigators to reach out and contact  us so all becomes clarified. An extremely Important issue was missed completely because I was not able to communicate that matter clearly.It's like you get 'One Shot' at it and that's it!For me; phone calls were much more satisfying.","27 October 2021","Reply from Energy Ombudsman","27 Oct 2021","Hi Mathew, we are sorry that our service fell short of expectations on this occasion. We are always looking for ways we can improve our consumers experience when using our service so your feedback is really important to us. I will ensure that this gets passed over to the relevant teams for them to review. Thank you"
"LC","https://uk.trustpilot.com/users/617914210747f100127b2f86","Lars Carson","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","27 Oct 2021","https://uk.trustpilot.com/reviews/6179142e75069a4da491190a","A waste of time","A waste of time.  I applied for fibre to fibre in December last year and was told by BT it could be done.  It's now October and still no fibre to fibre.  Multiple site visits by 'engineers', loads of promises that it's nearly there, but ultimately the lack of a coordinated plan means I am still waiting. When I made my complaint to the Ombudsman about BT, nobody told me that Openreach is not covered by the scheme, even though Openreach is a very significant profit contributor to the BT Group; I am sure the shareholders don't worry where their profits come from. The Ombudsman upheld my complaint about the lack of connection but there is nothing that can be done, as work has to be done by Openreach's subcontractor Telent, who are even less accountable.  Even now it says on the Openreach website that I can have fibre to fibre at my address, when I cannot at the moment.  Who will hold Openreach accountable for their shocking service?","27 October 2021","Reply from Energy Ombudsman","27 Oct 2021","Hi Lars, We completely understand your frustration. BT is reliant upon Openreach, to install and connect services. Openreach are responsible for installing, maintaining, and repairing the local network. BT have no control over the when and how Openreach complete the work. Openreach is not a signatory to our service so we have no jurisdiction over its actions therefore we can’t investigate any failures by Openreach. We would look to BT to manage their relationship with Openreach to ensure that any required work is carried out in a timely manner, or if there are any delays, BT would look to provide an interim solution. We understand that the outcome may not be one that you hoped for and we are sorry that we were unable to help you further on this occasion but should you have any questions about the decision then please don't hesitate to contact a member of our team who will be able to help you. Thank you"
"KE","https://uk.trustpilot.com/users/5432717100006400018e78e3","Keith","3 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","25 Oct 2021","https://uk.trustpilot.com/reviews/6176ec0975069a4da48f8b92","A toothless service - complete waste of time!","E.on cost me over £1000 in lost income, wages and travel costs. They admitted that their incompetence had caused the loss but offered me £100 in compensation. (Oh - and a meaningless apology!)I took my case to the Ombudsman service and went through the hours of collecting and sending off evidence.Their decision was - E.on should give me £100 and an apology!Companies like E.on have no interest in providing better customer services - and why should they? The Ombudsman service (who are supposed to be our watchdog) make ludicrously inadequate decisions that go nowhere near recompensing the consumer.An incredibly frustrating experience and a complete and utter waste of time.","25 October 2021","Reply from Energy Ombudsman","26 Oct 2021","Hi Keith, We are sorry to hear about the problems you have faced with E.on. Ombudsman services is a dispute resolution service, and whilst we will always try our best to support consumers through our process, we have to remain independent and issue resolutions that are fair and impartial. We aren't a watchdog or a regulator, and we don't dictate how companies operate, that is the role of OFGEM who is the regulator for the energy industry. We are sorry that your experience using our service was frustrating but if you have any further questions about your decision then please contact your investigations officer who will be happy to help you. Thank you"
"S&","https://uk.trustpilot.com/users/5bf3e5f5febb1453ca9d6647","Steve & Annie","26 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","25 Oct 2021","https://uk.trustpilot.com/reviews/6176a85a75069a4da48f3419","Two BT bias complaints","Two BT complaints, both have been clearly bias.I contacted my MP as a while back ombudsman bias was discussed in parliament as it was clear in a number of different ombudsman.The relevant ombudsman have contacted me as I copied them in on my MP email.They have now handed this over to their investigation team.I am not holding my breath as it is ombudsman internal with no external party providing an independent assessment. My advise to anyone in a similar situation for any ombudsman, email you MP and copy the ombudsman in.","25 October 2021","Reply from Energy Ombudsman","3 Nov 2021","Hello Steve and Annie, We are sorry that you are unhappy with the decisions you have received on your BT complaints. Our role is as an independent dispute resolution service, we allow both parties the chance to present us with information and evidence relating to their case which we then review along with any relevant laws, regulations, consumer rights and industry practices in order to issue a fair decision. We understand that it is frustrating when you don't get the outcome you had hoped for. We are regulated by and work with OFGEM and OFCOM, who are the regulators for the energy and communications industries.Thank you for leaving us your feedback, should you wish to speak to a member of our team regarding your cases then you can do so by using your online account or by phoning 0330 440 1614, and they will be happy to help."
"JG","https://uk.trustpilot.com/users/61768b997b7eff0013ec68cf","Jamie Gibbons","5 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","25 Oct 2021","https://uk.trustpilot.com/reviews/61768bbd234f1b1fe563f4fa","EE Mobile Shambles","I am shocked how badly my compliant has been handled. Every point I have raised was played down or whilst we sympathies nonsense used time and time again. You felt like you were actually making up excuses on behalf of EE Fair and impartial not a chance!","25 October 2021","Reply from Energy Ombudsman","25 Oct 2021","Hi Jamie, We are sorry that you are unhappy with the outcome of our investigation.  We consider multiple things when performing an investigation, this not only includes information and evidence provided by both parties but we also look at relevant laws, regulations, consumer rights and establish whether the supplier has took necessary steps to resolve the complaint prior to it reaching us. Its really important when raising a case with us, that your provide as much information and evidence relating to your complaint so that our team can understand the situation and issue a fair decision. We completely understand that complaints can have an emotional impact on our consumers and we will always try to support you through our process however, there are occasions when we have to issue decisions that aren't what our consumers were expecting. We are sorry that we have been unable to reach a satisfactory outcome for you on this occasion but we appreciate you leaving us your feedback. Thank you"
"JO","https://uk.trustpilot.com/users/5d9b15cf885a22020d813820","Joanna","5 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","25 Oct 2021","https://uk.trustpilot.com/reviews/61766ff075069a4da48ef14e","Both case Ombudsman Interface Team…","Both case Ombudsman Interface Team members were very professional, promptly dealt with the problem and solved the dispute in a fair way","25 October 2021","Reply from Energy Ombudsman","25 Oct 2021","Hi Joanna, That is lovely to hear. We are glad that our team supported you with your complaint and you had a fair resolution. Thank you"
"JW","https://uk.trustpilot.com/users/5cf62117bd9520a220345bc4","John Welland","25 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-3.svg","24 Oct 2021","https://uk.trustpilot.com/reviews/6175423e75069a4da48e51d2","Compensation ignored","While at the second go they got it right with detailed investigation by myself they ignored months and months of bullying & harrasenent bit sad as a bill for £568.32 should never have been sent ! Theft by Scottish Power. The actual amount owed just £48 !!! Bad connection between departments at ombudsman was a problem. But we stopped the Theft occurring.","24 October 2021","Reply from Energy Ombudsman","25 Oct 2021","Hi John. Thank you for your feedback, I will ensure that this reaches the appropriate team for them to review. We are glad you were able to get a resolution with scottish power in the end. Thank you"
"SE","https://uk.trustpilot.com/users/5790f5c80000ff000a33cf15","Sharon Ely","22 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-2.svg","Updated 23 Oct 2021","https://uk.trustpilot.com/reviews/6174577075069a4da48df489","Very disappointing service","Very disappointing service. Had a complaint with ScottishPower in February/March 2021 . Finally involved the Ombudsman in July 2021 after getting nowhere with SP, however it took almost 4 month for ombudsman to reach their resolution. They seem to favour the company more than the complainant. If you appeal the company decision, the ombudsman will review it, but then you have nowhere to turn other than accept the offer as this is their final decision and they will close case if you don’t accept. I had no option to accept even though it was worse than the company’s offer. I waited so long for a resolution too; the case is now closed, but I don’t feel satisfied that the issue is resolved. The meter has finally been exchanged after approximately 9 months, but I still have no idea when my energy usage will be sorted out!Wouldn’t bother using them in future to be honest.","23 October 2021","Reply from Energy Ombudsman","25 Oct 2021","Hi Sharon. We are sorry to hear that you felt your experience when using our service was disappointing. Our role is to investigate the complaint independently and impartially, and whilst we will try to support consumers as much as possible throughout our process, we don't take sides with either party. We understand that the complaints process from raising it with your supplier, to it reaching us and a resolution being issued can feel like a long time and we understand that it can be disheartening when the outcome isn't one that you had hoped for. Our team deal with a variety of complaints and are trained to perform in depth investigations and issue resolutions that reflect the nature of the case, however there are times when the resolution we issue isn't one that our customers were expecting, and whilst we appreciate the frustration around the complaint being closed if the resolution is not accepted, we do have to set an end point with our complaints process. If you do not feel that your complaint is resolved, you can seek alternative legal advise. Thank you for leaving us your feedback."
"DA","https://uk.trustpilot.com/users/5bf809339776366a5683417e","David","12 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","23 Oct 2021","https://uk.trustpilot.com/reviews/6173fda1234f1b1fe5629065","I had issue with Scottish Power and…","I had issue with Scottish Power and after 5 months of trying to resolve the issue myself I contacted the Ombudsman Service. 2 months after the Ombudsman intervention the problem has been successfully resolved . The Ombudsman Service is very efficient and effective, thank  you for your help.","23 October 2021","Reply from Energy Ombudsman","25 Oct 2021","That's great to hear, David. We are glad that your complaint with Scottish Power is now resolved and that you had a positive experience when using our services. Thank you"
"RW","https://uk.trustpilot.com/users/59f76fa50000ff000adbf75d","Roy Wall","16 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","23 Oct 2021","https://uk.trustpilot.com/reviews/6173f5e475069a4da48da63a","The Energy Ombudsman is biased","The Energy Ombudsman is biased.  It has been sitting on my complaint, i.e., refusing to instruct the energy company to do the obvious.  It shows that there is clear bias in favour of the energy company.","23 October 2021","Reply from Energy Ombudsman","25 Oct 2021","Hi Roy, We are sorry to hear that. We will always act as quickly as possible once complaints are raised with us however, we do have certain processes that we need to follow to ensure that the complaint is within our terms of reference (so that we can perform an investigation) and allowing both parties to submit all the appropriate evidence. If you need further information on your specific case then please don't hesitate to contact a member of our team and they will be happy to help you. Thank you"
"CU","https://uk.trustpilot.com/users/5e288bd3e5a4c7233185fe11","customer","15 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-4.svg","23 Oct 2021","https://uk.trustpilot.com/reviews/6173df39234f1b1fe5627512","The process is straightforward and…","The process is straightforward and providing you have the appropriate information they act efficiently.","23 October 2021","Reply from Energy Ombudsman","25 Oct 2021","Hello, Thank you for your feedback! The more information and evidence you have relating to your complaint, the easier it is for us to understand the situation and issue a fair resolution!"
"JA","https://uk.trustpilot.com/users/5f6c56a559019a417c32c6e3","Jackie.","16 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","23 Oct 2021","https://uk.trustpilot.com/reviews/6173dbe475069a4da48d8f98","Brilliant service.I had an ongoing…","Brilliant service.I had an ongoing issue re a bill that I thought was unfair.I thought I was stuck and would have to pay it even tho I disagreed so as a last resort I contacted Ombudsman Services.They dealt with my issue quickly,fairly and got me the result I wanted.Thank you so much,I have peace of mind now this issue has been dealt with.Would recommend them to anyone having issues re gas/electricity bill issues.","23 October 2021","Reply from Energy Ombudsman","25 Oct 2021","Hi Jackie, Its great to hear that your complaint is resolved and that you got the result you were hoping for. Thank you for your review and your recommendation!"
"HN","https://uk.trustpilot.com/users/5598cbaf0000ff0001ca7775","Heather Nunn","14 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","23 Oct 2021","https://uk.trustpilot.com/reviews/6173d8e575069a4da48d8d53","Very disappointed!","We have had extremely bad landline service since going “ Digital Voice” with BT in June, I first complained to them in July, and they have tried to rectify the faults ( people can hardly ever actually get through to us,). I can ring out but any conversations I have drop out after 15 minutes! Same if anyone can actually get through to me. We’ve had numerous phones sent to try, but it can’t be the phones, because we still get the same faults with each one.  I thought the ombudsman would find in our favour, but didn’t, so we are stuck with paying for a very unreliable landline that no one has been able to fix!  I have pulmonary fibrosis, which is getting worse and I dread being unable too speak to my Doctor or Consultant if I need to in an emergency, especially as we live rurally and isolated. Very disappointed to be wasting precious time chasing up a decent landline.","23 October 2021","Reply from Energy Ombudsman","25 Oct 2021","Hi Heather, We are sorry to hear that you haven't had the best experience when using our service, we understand that being able to use your landline without any faults is important to you. Our investigations team do consider all evidence and information provided to them in order to reach a fair decision, but if you have any questions about how the decision has been reached then please don't hesitate to contact your investigations officer who will be more than happy to go through the decision points with you. Thank you"
"AM","https://uk.trustpilot.com/users/5bc1d8eb4de5666d34220bdf","Amel","10 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","21 Oct 2021","https://uk.trustpilot.com/reviews/617166ec75069a4da48bcbf7","Very happy with the service","Very happy with the serviceI had been unable to get a satisfactory refund from Three Mobile after a very serious fraud issue on my account and very clear shortcomings from them. I went through the Ombudsman services and got all of my money refunded and £150 pounds extra as a formal apology.Process with the Ombudsman was easy and straightforward.","21 October 2021","Reply from Energy Ombudsman","22 Oct 2021","That's great to hear, Amel. We are glad we were able to help you get a positive resolution. Thank you for your review."
"","https://uk.trustpilot.com/users/6159ed13cb404e0012df01da","Lord L.P Robert-Evans","62 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","21 Oct 2021","https://uk.trustpilot.com/reviews/61714a31234f1b1fe5608408","Brilliant service","Brilliant service. I was getting nowhere with my particular complaint with the company in question. Contacted the ombudsman and was corrected straight away. Highly recommend","21 October 2021","Reply from Energy Ombudsman","22 Oct 2021","Thank you for your review! We are glad to hear that you got a quick resolution to your complaint!"
"HG","https://uk.trustpilot.com/users/617122372306b200128e7994","HG","4 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Updated 21 Oct 2021","https://uk.trustpilot.com/reviews/6171225275069a4da48b7615","They don't enforce their ruling","Contacted the ombudsman regarding an issue with Eon Energy - I hadn't received a gas bill for 6 months. Eon had the incorrect meter info - no idea how. Eon sent me a bill for £850 for a year which is most definitely incorrect. After getting nowhere with Eon I contacted the ombudsman. It took too long for the ombudsman to review my case. After they did they ruled in my favour and instructed Eon to apologise for the inconvenience, produce an accurate bill taking into account the back billing rules and awarded me a small financial award. Although both myself and Eon accepted the ombudsmans ruling Eon have failed to act on it. If anything it went from bad to worse.No apology, back billed months they legally can not, failed to take into account the credit on my account and reissued a bill for £35,250.I contacted the ombudsman multiple times uploading evidence of the new bills from Eon. All I got was a standard response of their decision stands. I have tried to contact Eon again myself but with no success.I received yet another bill from Eon, again estimated despite regular meter readings, no mention of the credit on my account or the award from the ombudsman and still back dated the bill to more than 12 months ago. I asked the ombudsman to enforce their ruling as per the implementation policy. The ombudsman not only failed to do this, they went as far as saying the case has been resolved and closed the case.I can reopen the case in 14 days if I'm not satisfied with the outcome.So after using the ombudsmans services my issue is still not resolved and I'm literally back to where I started.","21 October 2021","Reply from Energy Ombudsman","27 Oct 2021","Hello, We are sorry to hear that you feel the remedies to your complaint have not been implemented correctly. The provider has 28 days after the decision has been accepted to implement the agreed resolutions, and they are required to provide us with evidence that demonstrates this has been done. If you feel that they have not completed the actions required then please let your investigations officer know or give us a call and we will be able to escalate this through our remedy implementation team, they will liaise with the provider on your behalf to chase up any outstanding remedies. We hope this helps. Thank you for your review."
